,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel
0,0,6671799.123098099,594.2077875016889,3368.670881295262,-3.9629296403323258,1342.6835184483023,7611.9144961206175,53.099999999999994,6671799.995055385,1,0.0008699998902495042,0.000512706684300035,0,0.0003436699149967857,0
1,1,6671790.682813251,1936.890606270477,10980.581410806799,-12.917638164830935,1342.681818737011,7611.904860151427,53.099999999999994,6671799.983882318,1,0.0008699998902495042,0.0016712288202036518,0,0.0003436695236968405,0
2,2,6671773.287827551,3279.5708242716855,18592.47719609889,-21.872329344124964,1342.6783169137252,7611.88500768503,53.099999999999994,6671799.972709273,1,0.0008699998902495042,0.0028297509550150313,0,0.00034366871786178465,0
3,3,6671746.9381643515,4622.246639395469,26204.348020686524,-30.8269911594689,1342.6730129831478,7611.854938748088,53.099999999999994,6671799.961536256,1,0.0008699998902495042,0.0039882730888647355,0,0.0003436674974988411,0
4,4,6671711.633859026,5964.916249537897,33816.183668118196,-39.78161159215674,1342.6659069524003,7611.814653380976,53.099999999999994,6671799.950363285,1,0.0008699998902495042,0.005146795221718126,0,0.0003436658626189273,0
5,5,6671667.374958968,7307.577852603366,41427.97392198963,-48.73617862353811,1342.656998831023,7611.764151637778,53.099999999999994,6671799.9391903775,1,0.0008699998902495042,0.006305317353613171,0,0.0003436638132366406,0
6,6,6671614.161523586,8650.229646507027,49039.708565957495,-57.69068023503442,1342.6462886309753,7611.703433586294,53.099999999999994,6671799.928017543,1,0.0008699998902495042,0.007463839484544099,0,0.0003436613493702513,0
7,7,6671551.993624311,9992.869829177193,56651.37738375314,-66.64510440815496,1342.6337763666347,7611.632499308033,53.099999999999994,6671799.9168447945,1,0.0008699998902495042,0.008622361614488483,0,0.00034365847104168883,0
8,8,6671480.87134459,11335.496598557771,64262.97015919624,-75.59943912451311,1342.6194620547976,7611.551348898219,53.099999999999994,6671799.905672145,1,0.0008699998902495042,0.009780883743484958,0,0.0003436551782765476,0
9,9,6671400.7947798865,12678.108152610668,71874.47667620856,-84.55367236584233,1342.6033457146796,7611.459982465784,53.099999999999994,6671799.894499609,1,0.0008699998902495042,0.010939405871507102,0,0.0003436514711041295,0
10,10,6671311.764037687,14020.702689318221,79485.88671882766,-93.50779211401245,1342.5854273679142,7611.358400133376,53.099999999999994,6671799.883327198,1,0.0008699998902495042,0.012097927998557134,0,0.00034364734955736557,0
11,11,6671213.779237495,15363.278406685606,87097.19007122061,-102.46178635104567,1342.5657070385537,7611.2466020373495,53.099999999999994,6671799.872154933,1,0.0008699998902495042,0.013256450124652597,0,0.00034364281367283095,0
12,12,6671106.840510829,16705.83350274326,94708.37651769769,-111.41564305913279,1342.5441847530692,7611.124588327776,53.099999999999994,6671799.860982826,1,0.0008699998902495042,0.014414972249771507,0,0.000343637863490834,0
13,13,6670990.948001226,18048.366175549305,102319.43584272609,-120.36935022064925,1342.52086054035,7610.992359168434,53.099999999999994,6671799.849810879,1,0.0008699998902495042,0.015573494373922747,0,0.0003436324990553533,0
14,14,6670866.101864242,19390.874623191958,109930.35783094364,-129.32289581817133,1342.4957344317042,7610.849914736812,53.099999999999994,6671799.838639114,1,0.0008699998902495042,0.01673201649712075,0,0.0003436267204139604,0
15,15,6670732.30226745,20733.35704379195,117541.13226717254,-138.27626783449227,1342.4688064608583,7610.697255224114,53.099999999999994,6671799.827467547,1,0.0008699998902495042,0.017890538619343754,0,0.0003436205276179448,0
16,16,6670589.549390439,22075.81163550496,125151.748936433,-147.22945425263833,1342.440076663957,7610.534380835251,53.099999999999994,6671799.816296184,1,0.0008699998902495042,0.019049060740608192,0,0.00034361392072227164,0
17,17,6670437.843424816,23418.23659652401,132762.19762395704,-156.18244305588505,1342.4095450795633,7610.361291788843,53.099999999999994,6671799.8051250465,1,0.0008699998902495042,0.020207582860905626,0,0.0003436068997855383,0
18,18,6670277.184574204,24760.63012508189,140372.46811520212,-165.1352222277732,1342.3772117486587,7610.177988317222,53.099999999999994,6671799.793954139,1,0.0008699998902495042,0.021366104980239387,0,0.0003435994648700161,0
19,19,6670107.573054243,26102.9904194536,147982.55019586493,-174.08777975212513,1342.3430767146435,7609.984470666432,53.099999999999994,6671799.782783485,1,0.0008699998902495042,0.022524627098615024,0,0.000343591616041622,0
20,20,6669929.009092589,27445.315677958723,155592.43365189503,-183.04010361306064,1342.3071400233353,7609.780739096218,53.099999999999994,6671799.771613096,1,0.0008699998902495042,0.023683149216027655,0,0.0003435833533699866,0
21,21,6669741.49292891,28787.60409896389,163202.10826950858,-191.99218179501335,1342.2694017229703,7609.566793880043,53.099999999999994,6671799.76044297,1,0.0008699998902495042,0.02484167133246795,0,0.0003435746769283907,0
22,22,6669545.024814896,30129.85388088517,170811.56383520202,-200.9440022827467,1342.2298618642023,7609.342635305074,53.099999999999994,6671799.749273142,1,0.0008699998902495042,0.02600019344795923,0,0.0003435655867936883,0
23,23,6669339.605014249,31472.06322219049,178420.7901357659,-209.8955530613701,1342.1885205001038,7609.108263672185,53.099999999999994,6671799.738103618,1,0.0008699998902495042,0.027158715562483282,0,0.0003435560830464856,0
24,24,6669125.233802683,32814.230321402065,186029.77695829846,-218.84682211635496,1342.1453776861647,7608.8636792959605,53.099999999999994,6671799.726934407,1,0.0008699998902495042,0.028317237676049878,0,0.00034354616577101597,0
25,25,6668901.911467929,34156.353377098814,193638.51409021937,-227.797797433551,1342.1004334802928,7608.608882504691,53.099999999999994,6671799.7157655265,1,0.0008699998902495042,0.029475759788655242,0,0.00034353583505515833,0
26,26,6668669.638309732,35498.43058791876,201246.99131928335,-236.7484669992023,1342.0536879428143,7608.343873640373,53.099999999999994,6671799.704596983,1,0.0008699998902495042,0.0306342819002976,0,0.000343525090990479,0
27,27,6668428.414639852,36840.460152561456,208855.19843359417,-245.69881879996336,1342.0051411364723,7608.06865305871,53.099999999999994,6671799.6934287995,1,0.0008699998902495042,0.03179280401098117,0,0.00034351393367215293,0
28,28,6668178.240782059,38182.440269790444,216463.125221618,-254.6488408229153,1341.9547931264276,7607.7832211291125,53.099999999999994,6671799.682260984,1,0.0008699998902495042,0.03295132612070728,0,0.00034350236319901836,0
29,29,6667919.117072136,39524.369138435584,224070.7614721973,-263.5985210555819,1341.9026439802592,7607.487578234695,53.099999999999994,6671799.671093553,1,0.0008699998902495042,0.03410984822947927,0,0.00034349037967357655,0
30,30,6667651.043857881,40866.24495739556,231678.09697456457,-272.54784748594585,1341.8486937679627,7607.181724772277,53.099999999999994,6671799.659926518,1,0.0008699998902495042,0.035268370337290245,0,0.00034347798320198187,0
31,31,6667374.021499102,42208.06592564024,239285.12151835588,-281.4968081024648,1341.7929425619516,7606.865661152384,53.099999999999994,6671799.648759892,1,0.0008699998902495042,0.03642689244414199,0,0.00034346517389399257,0
32,32,6667088.050367617,43549.83024221314,246891.82489362478,-290.4453908940874,1341.7353904370564,7606.539387799242,53.099999999999994,6671799.637593691,1,0.0008699998902495042,0.03758541455003783,0,0.00034345195186307397,0
33,33,6666793.1308472585,44891.53610623378,254498.1968908558,-299.3935838502695,1341.6760374705248,7606.2029051507825,53.099999999999994,6671799.626427924,1,0.0008699998902495042,0.038743936654977995,0,0.0003434383172262708,0
34,34,6666489.2633338645,46233.181716900166,262104.22730097832,-308.34137496099044,1341.6148837420214,7605.856213658641,53.099999999999994,6671799.615262611,1,0.0008699998902495042,0.03990245875896403,0,0.0003434242701043043,0
35,35,6666176.448235287,47574.76527349116,269709.90591538016,-317.2887522167688,1341.551929333628,7605.49931378815,53.099999999999994,6671799.604097758,1,0.0008699998902495042,0.04106098086199372,0,0.0003434098106215484,0
36,36,6665854.685971386,48916.28497536893,277315.22252592136,-326.2357036086789,1341.4871743298431,7605.132206018348,53.099999999999994,6671799.592933381,1,0.0008699998902495042,0.04221950296406951,0,0.00034339493890595945,0
37,37,6665523.976974028,50257.73902198133,284920.1669249478,-335.1822171283665,1341.420618817582,7604.754890841974,53.099999999999994,6671799.581769498,1,0.0008699998902495042,0.04337802506519206,0,0.000343379655089179,0
38,38,6665184.321687089,51599.12561286436,292524.7289053051,-344.1282807680654,1341.3522628861763,7604.3673687654655,53.099999999999994,6671799.570606118,1,0.0008699998902495042,0.04453654716536026,0,0.00034336395930646864,0
39,39,6664835.720566453,52940.44294764453,300128.8982603519,-353.0738825206132,1341.2821066273739,7603.969640308958,53.099999999999994,6671799.559443253,1,0.0008699998902495042,0.045695069264573895,0,0.0003433478516967228,0
40,40,6664478.174080011,54281.68922604133,307732.66478397406,-362.01901037946755,1341.2101501353402,7603.5617060062905,53.099999999999994,6671799.548280918,1,0.0008699998902495042,0.046853591362838065,0,0.00034333133240243186,0
41,41,6664111.682707661,55622.86264786963,315336.0182705981,-370.9636523387222,1341.1363935066556,7603.143566404995,53.099999999999994,6671799.537119131,1,0.0008699998902495042,0.04801211346015122,0,0.0003433144015697641,0
42,42,6663736.246941303,56963.96141304206,322938.9485152048,-379.9077963931233,1341.0608368403168,7602.715222066303,53.099999999999994,6671799.525957901,1,0.0008699998902495042,0.04917063555651069,0,0.00034329705934845156,0
