,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel,eff_side,eff_back
0,0,4717665.780303576,4717683.480051865,2721.653461816587,-2.756049560559596,-1.7031036826388513,7729.42731025083,53.099999999999994,6671799.99606578,1,0.0008699998902495042,0.7854001224996948,0,0.00034366992914521325,0,0,0
1,1,4717659.858291563,4717678.610973615,10451.077213326866,-9.087973140107199,-8.035051725817173,7729.418463731504,53.099999999999994,6671799.984892707,1,0.0008699998902495042,0.7854013777782157,0,0.00034366956434382407,0,0,0
2,2,4717647.604361363,4717667.409952009,18180.48693120582,-15.419884516719534,-14.366988979263457,7729.399242991322,53.099999999999994,6671799.973719659,1,0.0008699998902495042,0.7854039752173331,0,0.00034366877210867294,0,0,0
3,3,4717629.018529429,4717649.877002086,25909.872241244342,-21.751775191875545,-20.698906944421914,7729.369648056099,53.099999999999994,6671799.962546638,1,0.0008699998902495042,0.7854079148030997,0,0.0003436675524469876,0,0,0
4,4,4717604.100820712,4717626.012147382,33639.222769266096,-28.083636667082033,-27.030797122762714,7729.329678965573,53.099999999999994,6671799.9513736665,1,0.0008699998902495042,0.7854131965143618,0,0.0003436659053698136,0,0,0
5,5,4717572.85126866,4717595.815419935,41368.52814114145,-34.415460443885074,-33.3626510157934,7729.279335773406,53.099999999999994,6671799.940200755,1,0.0008699998902495042,0.7854198203227624,0,0.00034366383089201987,0,0,0
6,6,4717535.269915222,4717559.286860278,49097.777982801395,-40.74723802388139,-39.69446012507029,7729.218618547185,53.099999999999994,6671799.92902792,1,0.0008699998902495042,0.7854277861927397,0,0.00034366132903232004,0,0,0
7,7,4717491.356810844,4717516.426517445,56826.96192025147,-47.07896090872978,-46.02621595220985,7729.147527368417,53.099999999999994,6671799.9178551715,1,0.0008699998902495042,0.78543709408153,0,0.0003436583998132648,0,0,0
8,8,4717441.112014469,4717467.234448967,64556.069579585695,-53.410620600162545,-52.35790999890016,7729.0660623325375,53.099999999999994,6671799.906682524,1,0.0008699998902495042,0.7854477439391666,0,0.0003436550432612217,0,0,0
9,9,4717384.53559354,4717411.710720873,72285.09058700046,-59.74220859999684,-58.68953376691228,7728.974223548903,53.099999999999994,6671799.8955099955,1,0.0008699998902495042,0.785459735708483,0,0.00034365125940640125,0,0,0
10,10,4717321.627623999,4717349.8554076925,80014.01456880852,-66.07371641014613,-65.02107875811164,7728.872011140793,53.099999999999994,6671799.884337596,1,0.0008699998902495042,0.7854730693251138,0,0.0003436470482828089,0,0,0
11,11,4717252.3881902825,4717281.668592449,87742.8311514528,-72.40513553263158,-71.35253647446952,7728.759425245412,53.099999999999994,6671799.87316534,1,0.0008699998902495042,0.7854877447174958,0,0.0003436424099283345,0,0,0
