,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel,eff_f_side,eff_r_side,eff_back
0,0,4717665.780303576,4717683.480051865,2721.6534626594957,-2.7560495612653377,-1.7031036833141315,7729.427310474459,58.61335133144992,6671799.99645184,1,0.0008699998902495042,0.7854001224996949,0,0.0003421276491410809,0,0,0,0
1,1,4717659.858291562,4717678.610973615,10451.077214710953,-9.087973141299527,-8.035051726892522,7729.418464590232,58.61335133144992,6671799.986375171,1,0.0008699998902495042,0.7854013777782161,0,0.0003421272860330189,0,0,0,0
2,2,4717647.604361361,4717667.409952008,18180.486933766184,-15.419884518918712,-14.366988981259144,7729.3992444851465,58.61335133144992,6671799.976298515,1,0.0008699998902495042,0.7854039752173343,0,0.0003421264974093652,0,0,0,0
3,3,4717629.018529424,4717649.877002082,25909.872245616076,-21.751775195601823,-20.698906947858195,7729.369650185014,58.61335133144992,6671799.966221889,1,0.0008699998902495042,0.7854079148031022,0,0.0003421252832773086,0,0,0,0
4,4,4717604.1008207025,4717626.012147374,33639.22277608429,-28.083636672855647,-27.030797128159826,7729.329681729569,58.61335133144992,6671799.956145306,1,0.0008699998902495042,0.7854131965143674,0,0.0003421236436478231,0,0,0,0
5,5,4717572.851268644,4717595.815419921,41368.52815104117,-34.41546045222621,-33.36265102367154,7729.279339172472,58.61335133144992,6671799.94606878,1,0.0008699998902495042,0.7854198203227718,0,0.00034212157853568965,0,0,0,0
6,6,4717535.269915197,4717559.286860255,49097.77799641772,-40.74723803531022,-39.69446013594961,7729.218622581307,58.61335133144992,6671799.935992318,1,0.0008699998902495042,0.785427786192755,0,0.00034211908795956546,0,0,0,0
7,7,4717491.356810805,4717516.426517409,56826.96193821944,-47.078960923766424,-46.026215966610486,7729.14753203758,58.61335133144992,6671799.925915934,1,0.0008699998902495042,0.7854370940815532,0,0.00034211617194185106,0,0,0,0
8,8,4717441.112014414,4717467.234448914,64556.06960254035,-53.41062061932706,-52.357910017342185,7729.066067636723,58.61335133144992,6671799.915839646,1,0.0008699998902495042,0.7854477439392001,0,0.00034211283050878793,0,0,0,0
9,9,4717384.535593464,4717411.7107208,72285.09061557682,-59.74220862380924,-58.689533789915686,7728.974229488091,58.61335133144992,6671799.905763464,1,0.0008699998902495042,0.7854597357085298,0,0.0003421090636904509,0,0,0,0
10,10,4717321.627623896,4717349.855407593,80014.01460364155,-66.07371643912636,-65.02107878619638,7728.87201771496,58.61335133144992,6671799.895687396,1,0.0008699998902495042,0.7854730693251769,0,0.00034210487152069906,0,0,0,0
11,11,4717252.388190148,4717281.668592319,87742.8311931775,-72.4051355672995,-71.35253650815547,7728.759432454532,58.61335133144992,6671799.885611459,1,0.0008699998902495042,0.7854877447175785,0,0.00034210025403721723,0,0,0,0
12,12,4717176.817385157,4717207.150366501,95471.53001077173,-78.73645751046884,-77.68389845788131,7728.63647385793,58.61335133144992,6671799.875535661,1,0.0008699998902495042,0.7855037618069761,0,0.00034209521128148037,0,0,0,0
