,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel,eff_f_side,eff_r_side,eff_back
0,0,4717665.780303576,4717683.480051865,2721.6534626595176,-2.756049561265363,-1.7031036833141404,7729.427310474576,58.61335133144992,6671799.996452044,1,0.0008699998902495042,0.7854001224996949,0,0.0003421081320544582,0,0,0,0
1,1,4717659.858291562,4717678.610973615,10451.077214711258,-9.087973141299807,-8.03505172689274,7729.418464590683,58.61335133144992,6671799.9863759475,1,0.0008699998902495042,0.7854013777782161,0,0.00034210776896713944,0,0,0,0
2,2,4717647.604361361,4717667.409952008,18180.486933767108,-15.419884518919522,-14.366988981259844,7729.39924448593,58.61335133144992,6671799.976299867,1,0.0008699998902495042,0.7854039752173343,0,0.0003421069803885033,0,0,0,0
3,3,4717629.018529424,4717649.877002082,25909.87224561795,-21.751775195603436,-20.698906947859648,7729.36965018613,58.61335133144992,6671799.966223816,1,0.0008699998902495042,0.7854079148031022,0,0.0003421057663257378,0,0,0,0
4,4,4717604.1008207025,4717626.012147374,33639.222776087445,-28.083636672858333,-27.03079712816231,7729.329681731017,58.61335133144992,6671799.956147808,1,0.0008699998902495042,0.7854131965143674,0,0.0003421041267898164,0,0,0,0
5,5,4717572.851268644,4717595.815419921,41368.528151045946,-34.41546045223024,-33.362651023675326,7729.279339174253,58.61335133144992,6671799.946071856,1,0.0008699998902495042,0.7854198203227718,0,0.0003421020617955193,0,0,0,0
6,6,4717535.269915197,4717559.286860255,49097.77799642444,-40.74723803531587,-39.69446013595498,7729.218622583421,58.61335133144992,6671799.935995968,1,0.0008699998902495042,0.785427786192755,0,0.00034209957136150244,0,0,0,0
7,7,4717491.356810805,4717516.426517409,56826.96193822844,-47.07896092377396,-46.0262159666177,7729.147532040028,58.61335133144992,6671799.92592016,1,0.0008699998902495042,0.7854370940815532,0,0.0003420966555101653,0,0,0,0
8,8,4717441.112014414,4717467.234448914,64556.069602551965,-53.41062061933677,-52.357910017351514,7729.066067639504,58.61335133144992,6671799.915844446,1,0.0008699998902495042,0.7854477439392001,0,0.0003420933142677477,0,0,0,0
9,9,4717384.535593464,4717411.7107208,72285.09061559138,-59.742208623821384,-58.68953378992741,7728.974229491204,58.61335133144992,6671799.905768838,1,0.0008699998902495042,0.7854597357085298,0,0.00034208954766432287,0,0,0,0
10,10,4717321.627623896,4717349.855407593,80014.0146036594,-66.07371643914121,-65.02107878621078,7728.872017718406,58.61335133144992,6671799.895693345,1,0.0008699998902495042,0.7854730693251769,0,0.0003420853557337618,0,0,0,0
