,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel,eff_f_side,eff_r_side,eff_back
0,0,4717665.780303576,4717683.480051865,2721.653461355227,-2.7560495601733153,-1.7031036822692416,7729.427310128451,50.5,6671799.995854511,1,0.0008699998902495042,0.7854001224996948,0,0.0003443938900774231,0,0,0,0
1,1,4717659.858291564,4717678.610973616,10451.077212569351,-9.087973139454633,-8.035051725228623,7729.418463261572,50.5,6671799.984081446,1,0.0008699998902495042,0.7854013777782155,0,0.00034439352447659407,0,0,0,0
2,2,4717647.604361365,4717667.409952011,18180.486929804596,-15.419884515515971,-14.366988978171255,7729.399242173839,50.5,6671799.972308405,1,0.0008699998902495042,0.7854039752173327,0,0.0003443927305415819,0,0,0,0
3,3,4717629.018529433,4717649.877002089,25909.87223885186,-21.751775189836284,-20.698906942541356,7729.369646891068,50.5,6671799.96053539,1,0.0008699998902495042,0.7854079148030982,0,0.0003443915082796651,0,0,0,0
4,4,4717604.100820718,4717626.012147388,33639.22276553482,-28.08363666392239,-27.030797119809115,7729.329677452999,50.5,6671799.948762429,1,0.0008699998902495042,0.7854131965143591,0,0.00034438985770189856,0,0,0,0
5,5,4717572.851268671,4717595.815419945,41368.52813572383,-34.41546043932036,-33.36265101148208,7729.279333913295,50.5,6671799.9369895365,1,0.0008699998902495042,0.7854198203227571,0,0.00034438777882318957,0,0,0,0
6,6,4717535.269915239,4717559.286860294,49097.7779753499,-40.747238017626955,-39.69446011911658,7729.218616339543,50.5,6671799.925216714,1,0.0008699998902495042,0.7854277861927315,0,0.00034438527166231954,0,0,0,0
7,7,4717491.356810868,4717516.426517468,56826.96191041858,-47.078960900500995,-46.026215944329124,7729.147524813254,50.5,6671799.91344399,1,0.0008699998902495042,0.7854370940815171,0,0.0003443823362418593,0,0,0,0
8,8,4717441.112014502,4717467.234448999,64556.06956702388,-53.4106205896748,-52.357909988807805,7729.066059429862,50.5,6671799.901671371,1,0.0008699998902495042,0.7854477439391482,0,0.00034437897258827354,0,0,0,0
9,9,4717384.535593585,4717411.710720917,72285.09057136223,-59.74220858696557,-58.68953375432372,7728.974220298727,50.5,6671799.889898874,1,0.0008699998902495042,0.7854597357084576,0,0.00034437518073179515,0,0,0,0
