,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel,eff_f_side,eff_r_side,eff_back
0,0,4717665.780303576,4717683.480051865,2721.65346135492,-2.7560495601729453,-1.7031036822691092,7729.427310126706,50.5,6671799.995851502,1,0.0008699998902495042,0.7854001224996948,0,0.00034464414612925216,0,0,0,0
1,1,4717659.858291564,4717678.610973616,10451.077212564824,-9.087973139450469,-8.035051725225372,7729.418463254872,50.5,6671799.984069881,1,0.0008699998902495042,0.7854013777782155,0,0.00034464378026231494,0,0,0,0
2,2,4717647.604361365,4717667.409952011,18180.48692979089,-15.419884515503949,-14.366988978160823,7729.399242162184,50.5,6671799.972288284,1,0.0008699998902495042,0.7854039752173327,0,0.00034464298574994287,0,0,0,0
3,3,4717629.018529433,4717649.877002089,25909.872238824024,-21.751775189812346,-20.698906942519685,7729.369646874458,50.5,6671799.960506716,1,0.0008699998902495042,0.7854079148030982,0,0.00034464176259941967,0,0,0,0
4,4,4717604.100820718,4717626.012147388,33639.222765487895,-28.083636663882476,-27.030797119772146,7729.329677431433,50.5,6671799.948725199,1,0.0008699998902495042,0.7854131965143591,0,0.0003446401108218151,0,0,0,0
5,5,4717572.851268671,4717595.815419945,41368.528135652865,-34.415460439260414,-33.362651011425754,7729.279333886773,50.5,6671799.936943747,1,0.0008699998902495042,0.7854198203227571,0,0.0003446380304320265,0,0,0,0
6,6,4717535.269915239,4717559.286860294,49097.777975249934,-40.74723801754291,-39.69446011903683,7729.218616308066,50.5,6671799.925162375,1,0.0008699998902495042,0.7854277861927315,0,0.0003446355214488699,0,0,0,0
7,7,4717491.356810868,4717516.426517468,56826.96191028466,-47.0789609003888,-46.0262159442219,7729.147524776822,50.5,6671799.913381093,1,0.0008699998902495042,0.7854370940815171,0,0.0003446325838949326,0,0,0,0
8,8,4717441.112014502,4717467.234448999,64556.06956685106,-53.410620589530396,-52.35790998866906,7729.066059388476,50.5,6671799.901599921,1,0.0008699998902495042,0.785447743939148,0,0.00034462921779667734,0,0,0,0
9,9,4717384.535593586,4717411.710720917,72285.09057114554,-59.7422085867849,-58.68953375414938,7728.974220252387,50.5,6671799.889818868,1,0.0008699998902495042,0.7854597357084572,0,0.0003446254231844082,0,0,0,0
10,10,4717321.627624059,4717349.85540775,80014.01454948085,-66.0737163940658,-65.02107874252836,7728.872007491835,50.5,6671799.8780379575,1,0.0008699998902495042,0.785473069325079,0,0.0003446212000922127,0,0,0,0
11,11,4717252.388190361,4717281.668592524,87742.83112829996,-72.40513551339431,-71.3525364557773,7728.759421244025,50.5,6671799.866257196,1,0.0008699998902495042,0.7854877447174499,0,0.0003446165485581377,0,0,0,0
12,12,4717176.817385428,4717207.150366763,95471.52993419004,-78.73645744691073,-77.6838983959847,7728.636461660087,50.5,6671799.854476599,1,0.0008699998902495042,0.785503761806811,0,0.0003446114686239499,0,0,0,0
13,13,4717094.915310695,4717126.300830489,103200.10059389629,-85.06767369688589,-84.01515606536768,7728.503128905069,50.5,6671799.842696186,1,0.0008699998902495042,0.7855211205072097,0,0.0003446059603353109,0,0,0,0
14,14,4717006.682076095,4717039.120092222,110928.53273433598,-91.39877576573252,-90.3463009662834,7728.359423157946,50.5,6671799.830915969,1,0.0008699998902495042,0.7855398207255021,0,0.0003446000237417342,0,0,0,0
15,15,4716912.117800057,4716945.608268978,118656.81598261229,-97.72975515601671,-96.67732460124041,7728.205344611612,50.5,6671799.819135961,1,0.0008699998902495042,0.785559862361355,0,0.00034459365889653556,0,0,0,0
16,16,4716811.222609509,4716845.765486273,126384.93996602825,-104.06060337046922,-103.00821847291014,7728.040893472886,50.5,6671799.807356177,1,0.0008699998902495042,0.7855812453072489,0,0.00034458686585688155,0,0,0,0
17,17,4716703.996639874,4716739.591878119,134112.8943121007,-110.39131191199701,-109.33897408413823,7727.866069962505,50.5,6671799.795576633,1,0.0008699998902495042,0.7856039694484808,0,0.00034457964468376744,0,0,0,0
18,18,4716590.440035074,4716627.087587024,141840.66864857412,-116.72187228369452,-115.66958293795597,7727.680874315132,50.5,6671799.783797341,1,0.0008699998902495042,0.7856280346631663,0,0.00034457199544204493,0,0,0,0
