,Config,LTAN,Eclipse_fraction,eff_fixed_side,eff_rotatable_side,eff_rotatable_back
7,2.0,6.0,0.2332657200811359,0.1269853605117839,0.3052083822507609,0.7280599604641511
8,2.0,7.0,0.2794885979470158,0.1477648964497772,0.33415078970493806,0.6705926535939206
9,2.0,8.0,0.3378203946155265,0.1934754299007125,0.4018162761510757,0.5813093291632014
10,2.0,9.0,0.37267195279365667,0.24236463078284384,0.4771484746478927,0.5018761989613086
11,2.0,10.0,0.39172659659475073,0.2829290586167488,0.540146380179086,0.42998138010068776
12,2.0,11.0,0.4013153850882046,0.30927044492027056,0.5811002888349593,0.36759148503358224
0,2.0,12.0,0.40420431495482206,0.3183734644678136,0.5953539984957253,0.3320290204692257
1,2.0,13.0,0.4013153850882046,0.3092746736842138,0.5811791233866221,0.3678355447861999
2,2.0,14.0,0.3917880631876575,0.2829328641610537,0.5399630730048867,0.4296629192336042
3,2.0,15.0,0.3727334193865634,0.24236777864102385,0.47711130064078316,0.5017456882367334
4,2.0,16.0,0.3378203946155265,0.19347770964132682,0.4020563913790457,0.5814168093301172
5,2.0,17.0,0.279427131354109,0.14776612963742272,0.3341857768407174,0.6706078865187772
6,2.0,18.0,0.2332657200811359,0.1269853605117839,0.3052083822507609,0.7280599604641511
