,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel,eff_f_side,eff_r_side,eff_r_back
0,0,-4717674.815566899,4717674.444805139,2721.653461821581,1.7030986208704615,-2.756052688485507,7729.427310279105,53.099999999999994,6671799.996114596,0,0.00022033954171452622,2.35619444628227,0,0.00033945278365014674,0,0.7071067501374353,0.7449669227337749,0.9984631041167896
1,1,-4717669.9464995265,4717668.522784183,10451.077213398947,8.035035034859057,-9.087987897352773,7729.418463836501,53.099999999999994,6671799.985073975,0,0.001039538120112381,2.3561934141925116,0,0.000339738863323762,0,0.7071060203393594,0.6975014883185934,0.9997470815090361
2,2,-4717658.745500426,4717656.268833412,18180.486931419015,14.366960659193058,-15.41991090331925,7729.399243167647,53.099999999999994,6671799.97402406,0,0.0018587353039477912,2.3561910399356054,0,0.00034002451899991316,0,0.7071043414824014,0.6812398772397392,0.9988256708555678
3,3,-4717641.212584637,4717637.682969277,25909.872241667275,20.698866995323446,-21.75181320783944,7729.369648298356,53.099999999999994,6671799.9629648635,0,0.0026779299937165443,2.356187323524302,0,0.0003403097492325675,0,0.707101713568817,0.7464205900845402,0.9985060001931685
4,4,-4717617.347775698,4717612.76521673,33639.222769962,27.03074554472716,-28.08368631239569,7729.329679268367,53.099999999999994,6671799.951896402,0,0.003497121089917772,2.3561822649785564,0,0.00034059455257946965,0,0.7070981366021359,0.7206866644650908,0.9994816806724502
5,5,-4717587.151105643,4717581.515609219,41368.528142168165,33.36258780891851,-34.41552171850962,7729.279336131342,53.099999999999994,6671799.940818691,0,0.0043163074930554265,2.3561758643255284,0,0.0003408789276022183,0,0.707093610587161,0.6623759896448218,0.9973054291060759
6,6,-4717550.622615008,4717543.934188692,49097.777984211374,39.69438528946057,-40.74731092775352,7729.218618954866,53.099999999999994,6671799.929731736,0,0.005135488103639753,2.3561681215995813,0,0.0003411628728663501,0,0.7070881355299696,0.6898518812897465,0.9994895026377282
7,7,-4717507.762352825,4717500.021005595,56826.96192209177,46.02612948797659,-47.07904544176173,7729.14752782045,53.099999999999994,6671799.918635562,0,0.00595466182218877,2.356159036842283,0,0.000341446386941235,0,0.7070817114379125,0.6944713831948331,0.9996463344000557
8,8,-4717458.570376625,4717449.776118873,64556.06958189795,52.3578119061614,-53.41071676224209,7729.066062823526,53.099999999999994,6671799.907530175,0,0.006773827549229742,2.3561486101024007,0,0.0003417294684002019,0,0.7070743383196143,0.7142683104705819,0.9999449467793343
9,9,-4717403.046752439,4717393.199595967,72285.09058982095,58.68942404579283,-59.74231639098733,7728.974224073452,53.099999999999994,6671799.89641559,0,0.007592984185300656,2.356136841435906,0,0.000342012115820483,0,0.7070660161849733,0.724867859631447,0.9998317945788701
10,10,-4717341.191554793,4717330.29151282,80014.01457216807,65.0209574087431,-66.07383582988645,7728.872011693508,53.099999999999994,6671799.885291824,0,0.008412130630951694,2.3561237309059675,0,0.0003422943277833113,0,0.7070567450451618,0.7215670498427685,0.9995660033315584
11,11,-4717273.004866714,4717261.05195387,87742.83115537692,71.35240349699023,-72.40526658093617,7728.759425820898,53.099999999999994,6671799.874158895,0,0.009231265786746717,2.3561092785829523,0,0.00034257610287387146,0,0.7070465249126253,0.7238632763213549,0.9996716833276722
12,12,-4717198.486779723,4717185.481012054,95471.52996602921,77.68375381262946,-78.73660014625231,7728.636466606748,53.099999999999994,6671799.863016804,0,0.010050388553264735,2.3560934845444232,0,0.00034285743968134164,0,0.7070353558010838,0.7408918774963287,0.9989378348429973
13,13,-4717117.637393845,4717103.578788806,103200.10063086476,84.01499985788462,-85.0678280280812,7728.503134216108,53.099999999999994,6671799.85186558,0,0.010869497831101374,2.356076348875137,0,0.00034313833679894224,0,0.7070232377255301,0.6921528008399637,0.9978353904166501
14,14,-4717030.456817597,4717015.345394058,110928.53277679543,90.34613313511957,-91.39894172881107,7728.359428827951,53.099999999999994,6671799.84070523,0,0.011688592520870369,2.356057871667043,0,0.00034341879282393504,0,0.7070101707022314,0.6937863282898359,0.9994629659384793
15,15,-4716936.945167997,4716920.780946241,118656.81603091897,96.67714514684961,-97.7299327509835,7728.20535063517,53.099999999999994,6671799.829535769,0,0.012507671523205031,2.3560380530192804,0,0.00034369880635765147,0,0.7069961547487283,0.7204739113485892,0.9999765746126329
16,16,-4716837.102570558,4716819.885572282,126384.94002053302,103.00802739575285,-104.06079259730475,7728.040899844583,53.099999999999994,6671799.818357213,0,0.01332673373875972,2.356016893038173,0,0.00034397837600547057,0,0.7069811898838348,0.7092182672051222,0.9999252917985348
17,17,-4716730.929159292,4716712.6594076045,134112.89437314897,109.33877138468164,-110.39151277065729,7727.866076676927,53.099999999999994,6671799.807169573,0,0.014145778068211323,2.355994391837233,0,0.0003442575003769028,0,0.706965276127639,0.6910390057358361,0.999253558462012
18,18,-4716618.425076707,4716599.10259613,141840.66871650593,115.66936861667395,-116.72208477411104,7727.680881366863,53.099999999999994,6671799.795972867,0,0.01496480341226073,2.3559705495371492,0,0.0003445361780855612,0,0.7069484135015022,0.7221560165896383,0.9997788129586719
19,19,-4716499.590473809,4716479.215290278,149568.2526785846,121.99981059496484,-123.05250011093491,7727.485314162973,53.099999999999994,6671799.784767107,0,0.015783808671634304,2.355945366265792,0,0.000344814407749238,0,0.7069306020280592,0.6646807767083424,0.9964032474726571
20,20,-4716374.4255101,4716352.997650963,157295.63588762126,128.3300888229978,-129.38275028460814,7727.279375327757,53.099999999999994,6671799.773552308,0,0.016602792747085378,2.355918842158206,0,0.0003450921879898754,0,0.7069118417312187,0.7322458926574951,0.99918371194433
21,21,-4716242.930353578,4716220.449847596,165022.80797212166,134.66019480443614,-135.7128267988317,7727.0630651376405,53.099999999999994,6671799.762328487,0,0.017421754539395696,2.355890977356607,0,0.00034536951743356544,0,0.7068921326361625,0.693526739450191,0.9979112551118564
22,22,-4716105.1051807385,4716081.572058084,172749.75856087488,140.99012004317447,-142.0427211575398,7726.836383882965,53.099999999999994,6671799.7510956535,0,0.018240692949376906,2.35586177201038,0,0.00034564639471063946,0,0.706871474769346,0.7185869323722749,0.9994339352377088
23,23,-4715960.9501765715,4715936.364468832,180476.47728296733,147.31985604335003,-148.37242486491107,7726.599331867993,53.099999999999994,6671799.73985383,0,0.019059606877872053,2.355831226276073,0,0.000345922818455633,0,0.7068498681584979,0.753748804988746,0.9979019193769346
24,24,-4715810.465534563,4715784.827274737,188202.95376779666,153.64939430935414,-154.7019294253802,7726.351909410908,53.099999999999994,6671799.728603028,0,0.019878495225757017,2.3557993403173954,0,0.0003461987873073539,0,0.7068273128326207,0.7168605781269841,0.9993336006740462
