ModCod,Code Rate,Es/N0,Bits/Hz
QPSK 13/45,0.29,-2.03,0.55
QPSK 9/20,0.45,0.22,0.87
QPSK 1/2,0.50,1.00,0.97
QPSK 11/20,0.55,1.45,1.06
QPSK 3/5,0.60,2.23,1.16
QPSK 2/3,0.67,3.10,1.29
QPSK 3/4,0.75,4.03,1.45
QPSK 4/5,0.80,4.68,1.55
8APSK 26/45-L,0.58,5.13,1.67
8PSK 3/5,0.60,5.50,1.74
16APSK 1/2-L,0.50,6.07,1.93
16APSK 8/15-L,0.53,6.65,2.05
16APSK 5/9-L,0.56,6.94,2.14
16APSK 26/45,0.58,7.61,2.23
16APSK 3/5,0.60,7.90,2.31
16APSK 28/45,0.62,8.20,2.40
16APSK 2/3-L,0.67,8.53,2.57
16APSK 25/36,0.69,9.37,2.68
16APSK 13/18,0.72,9.81,2.79
16APSK 3/4,0.75,10.31,2.90
16APSK 7/9,0.78,10.75,3.00
16APSK 4/5,0.80,11.13,3.09
